scheme,agency,description,image,link,who_is_it_for,what_it_gives,scheme_type,search_booster,phone,email,address,how_to_apply
Pioneer Generation Disability Assistance Scheme (PioneerDAS),Agency for Integrated Care,"The Pioneer Generation Disability Assistance Scheme (PioneerDAS) is part of the Pioneer Generation Package, which honours what Singapore’s Pioneers have done for the country. Under this scheme, Pioneers who have disabilities can receive $100 a month, which they can use for expenses.",https://chidnast.sirv.com/SchemesSG/aic.jpg,https://www.aic.sg/financial-assistance/pioneer-generation-disability-assistance-scheme,"Elderly, Caregivers",Financial assistance,"Elderly, Caregivers","financial assistance for elderly with disabilities, elderly poor need money",,,,
CareShield Life,Agency for Integrated Care,"CareShield Life is a long-term care insurance scheme launched on 1 October 2020, which provides basic financial protection should an individual become severely disabled, especially during old age, and need care for a prolonged duration.

From 1 October 2020, all Singapore Citizens or Permanent Residents, born in 1980 or later, will be automatically covered under CareShield Life from 1 October 2020, or when they turn 30, whichever is later.

From 6 November 2021, all Singapore Citizens or Permanent Residents born in 1979 or earlier can choose to join CareShield Life, if they are not severely disabled. To make joining more convenient, Singapore Citizens or Permanent Residents born between 1970 and 1979 (both inclusive) who are insured under ElderShield 400 scheme and are not severely disabled will be auto-enrolled onto CareShield Life from December 2021.",https://chidnast.sirv.com/SchemesSG/aic.jpg,https://www.aic.sg/financial-assistance/careshield-life,Elderly,Medical insurance,Elderly,"medical insurance for elderly, financial support for eldely with disabilities",,,,
Medifund,Agency for Integrated Care,"Medifund helps needy Singapore citizens who cannot pay their medical bills.

 It can be used to pay for restructured hospitals, national specialty centres, and intermediate and long-term care services.",https://chidnast.sirv.com/SchemesSG/aic.jpg,https://www.aic.sg/financial-assistance/medifund,Elderly,Medical insurance,Elderly,"medical insurance for elderly, financial support for sick elderly",,,,
Caregivers Training Grant (CTG),Agency for Integrated Care (AIC),"The Caregivers Training Grant is a $200 annual subsidy that lets caregivers attend approved courses to better care for their loved ones. The $200 subsidy is provided for each care recipient every financial year (from April to March the following year). If multiple caregivers of the same care recipient wish to attend training, the $200 would need to be shared among the family members.",https://chidnast.sirv.com/SchemesSG/aic.jpg,https://aic.sg/financial-assistance/caregivers-training-grant,Caregivers,Financial assistance for caregiving training,"Elderly,Caregiver",Caregivers feeling overwhelmed. Burnout. Elderly parent. Stress. Depressed. Cannot cope anymore. Don't have enough knowledge on caring for elderly parents. Parents dementia. Diabetes. Chronic illnesses,,,,
Migrant Domestic Worker (MDW) Levy Concession For Persons With Disabilities,Agency for Integrated Care (AIC),"The Migrant Domestic Worker (MDW) Levy Concession for Persons with Disabilities lets families pay the Migrant Domestic Worker levy at a concessionary rate of $60 a month, instead of $300. Each household is eligible for up to two MDW levy concessions, caring for two loved ones at any one time.",https://chidnast.sirv.com/SchemesSG/aic.jpg,https://www.aic.sg/financial-assistance/foreign-domestic-worker-levy-concession,Caregivers,Subisdy for FDW employment,"Family,Elderly,Caregiver","Hire helper for caregiving, take care of elderly need helper, domestic worker, someone to help elderly with household chores, maid",,,,
Home Caregiving Grant (HCG),Agency for Integrated Care (AIC),"The Home Caregiving Grant (HCG) has been enhanced on 1 March 2023, increasing the HCG payouts from the existing $200 per month to up to $400 per month. This is to recognise caregivers’ contributions and further reduce caregiving costs. with more help provided to the lower-income.",https://chidnast.sirv.com/SchemesSG/aic.jpg,https://www.aic.sg/financial-assistance/home-caregiving-grant,Caregivers,Financial assistance for caregiving,"Family,Elderly,Caregiver","Hire helper for caregiving, take care of elderly need helper, domestic worker, someone to help elderly with household chores, maid",,,,
Home Personal Care,Agency for Integrated Care (AIC),"Home Personal Care service is provided by trained care professionals to assist clients and their caregivers with Activities of Daily Living (e.g. baths, light housekeeping), medication, mind stimulating activities, elder-sitting and other care tasks. The average price of the service is about $25 per hour before means-test subsidy. If you require financial assistance for the service, please speak to your service provider or the Medical Social Worker in the hospital or polyclinic.",https://chidnast.sirv.com/SchemesSG/aic.jpg,https://www.aic.sg/care-services/home-personal-care,"Caregivers,PWDs,Elderly,Low income","Elder sitting and respite,Caregiver support,Respite care","Family,Elderly,Low Income,PWD","subsidized home care, elderly, seniors with ADL issues, activities of daily living, help for disabled people, help to take care of elderly, help to take care of old people",,,,
Seniors' Mobility and Enabling Fund (SMF),"Agency for Integrated Care (AIC), Ministry of Health (MOH)","Provides holistic support for seniors to age in place within the community by extending subsidies to Singaporean seniors requiring mobility and assistive devices for daily independent living and to remain ambulant in the community, and receiving Government funded home care and care within the community, needing home healthcare items for their care.",https://chidnast.sirv.com/SchemesSG/aic.jpg,https://www.aic.sg/financial-assistance/seniors-mobility-enabling-fund,Elderly,"Assistive technology assistance for elderly,Financial assistance for home care","Healthcare,Tech,Transport,Caregiver","Poor, no money to see doctor, healthcare subsidy, can't afford medical fees, healthcare, assistive device, wheelchair",,,,
Various services,Aidha,"Aidha offers courses for helpers in money management, communication, computer and entrepreneurship. Aidha’s mission is to help migrant domestic workers and low-income Singaporean women achieve economic independence through financial education, wealth creation and entrepreneurship.",https://chidnast.sirv.com/SchemesSG/aidha.jpg,https://ainsociety.org.sg/programmes-services/,Migrant Workers/Foreign Workers,Educational programme,"Migrant Workers/Foreign Workers, Education","help to learn english, foreign worker, maid dont speak english, free lesson, financial planning, how to save money, how to invest",,,,
Financial Assistance,Ain Society,"Our financial assistance schemes help to alleviate the financial burdens of affected families, to ensure patients’ adherence to medical treatments and to acquire the intended consumables.",https://chidnast.sirv.com/SchemesSG/ain.jpg,https://ainsociety.org.sg/programmes-services/,Low income families,Financial assistance for daily living,"Low Income,Family,Healthcare","Need money to tide over difficulties, money for daily needs",,,,
Caregiver Support Group (Dementia),Alzheimer's Disease Association,"Caregiver Support Group (in English, Mandarin and Malay) provides an opportunity for respite while meeting other caregivers in a similar situation to share caregiving experiences and practical tips, learn about dementia, and discover resources in a relaxed and safe environment. Sessions are free unless otherwise stated.

 The sessions are conducted in English, Mandarin and Malay at different venues for two hours, and consists of talks by guest speakers and group sharing amongst caregivers.",https://chidnast.sirv.com/SchemesSG/ada.jpg,https://dementia.org.sg/css/,"Dementia patients,Caregivers","Caregiver support,Respite care","Mental Health,Elderly,Caregiver","dementia, caregiver, mental illness, alzheimer's, free talks",,,,
CARA Membership,Alzheimers' Disease Association,"CARA is a lifestyle and community digital platform that provides easy access for persons living with dementia and caregivers to connect to an ecosystem of solutions via a mobile application. It serves as a key touchpoint for members, providing personalised support across the journey of living with and caring for dementia.
With CARA, the Safe Return functionality has been enhanced through the provision of a unique QR code identifier for each member living with dementia. This provides Assurance that persons living with dementia can continue to move freely and independently within a safe community, giving caregivers a greater peace of mind.",https://chidnast.sirv.com/SchemesSG/ada.jpg,https://dementia.org.sg/cara/,"Caregivers,Elderly,Dementia patients",Identification tag for persons with dementia,"Elderly,Caregiver","Identify, dementia, alzheimers, elderly",,,,
Reintegration Service,Allkin,"Allkin Singapore's restorative service enables incarcerated individuals and their families to succeed in their recovery journey by providing in-care and after-care support via casework, counselling, and psychoeducational groupwork.",https://chidnast.sirv.com/SchemesSG/amkfsc.jpg,https://www.allkin.org.sg/services/restorative-service,Ex-offenders,"Casework,Counselling,Emotional care","Ex-offender,Family,Mental Health,In Prison","family member in jail, family counselling, bond with parent in jail, family problems after prison release, ex-convictfamily problems, learn to connect with family after jail, improve relationships with family, ex-prisoner",,,,
Youth Service,Allkin,"Allkin Singapore's youth service harnesses the potential of youth aged between 10-21 years old, with a focus on uplifting at-risk youths. Through troubled youth programmes in Singapore including casework, counselling, and groupwork, we enable vulnerable youths and their families to overcome challenges in mental health, substance use, sexuality, offending behaviours and relationships.",https://chidnast.sirv.com/SchemesSG/amkfsc.jpg,https://www.allkin.org.sg/services/youth-service,Children,"Educational programme,Befriending","Low Income, Children, Education","free art class, art therapy, drawing class, painting, after school activities, mentoring, coaching",,,,
Various services,Archdiocesan Commission for the Pastoral Care of Migrants and Itinerant People (ACMI),"Provides support for migrant families, transnational families and individuals in areas such as case management and counselling, information and referral services, legal aid, and education, as well as vocational and language courses. Also brings the local and migrant community together by reaching out to various migrant workers including dormitory workers and migrant domestic workers through various initiatives.",https://chidnast.sirv.com/SchemesSG/acmi.jpg,www.acmi.org.sg,Migrant workers/Foreign workers,"Casework,Educaitonal programmes,Food",Migrant Workers,"migrant workers, foreign workers, foreign domestic workers, maid needs help, meals, domestic worker looking to upgrade",,,,
Assisi Hospice,Assisi Hospice,"Provides compassionate, personalised and quality Palliative Care to adults and children with life limiting illnesses through Inpatient, Home and Day Care services.",https://chidnast.sirv.com/SchemesSG/assissi.jpg,https://www.assisihospice.org.sg/palliative/#ourcareservices,"Facing end of life,Elderly,Caregivers",End-of-life care,"Healthcare,End-of-Life","Hospice, Low Income, Palliative, Dying, Old, Elderly, Sick",,,,
APSN Student Care Centre,Association for Persons with Special Needs (APSN),APSN provides before and after school care programmes for students with special needs aged 7 to 18. Their services are available to all Special Education (SPED) school-going students.,https://chidnast.sirv.com/SchemesSG/apsn.jpg,https://www.apsn.org.sg/apsn-student-care-centre/,"Persons with special needs,Persons with intellectual disabilities",Student care,"Family,Special Needs,Children","intellectually disabled, low IQ, mentally challenged, down syndrome, mentally retarded",,,,
APSN Centre for Adults (CFA),Association for Persons with Special Needs (APSN),"APSN Centre for Adults (CFA), is a sheltered workshop that serves as an alternative for post-secondary special education and caters to individuals with special needs (Mild Intellectual Disabilities, IQ range 50-70), aged 18 and above. The vocational training centre provides sheltered enterprise training and job placement opportunities.",https://chidnast.sirv.com/SchemesSG/apsn.jpg,https://www.apsn.org.sg/apsn-centre-for-adults/,"Persons with special needs,Persons with intellectual disabilities",Vocational training,"Family,Special Needs","intellectually disabled, low IQ, mentally challenged, down syndrome, mentally retarded",,,,
APSN Chaoyang School,Association for Persons with Special Needs (APSN),"APSN Chaoyang School caters to children between 7 and 12 years old, with mild intellectual disability (MID), i.e. IQ range 50-70 with concurrent significant limitations in adaptive behaviour as expressed in conceptual, social and practical adaptive skills.",https://chidnast.sirv.com/SchemesSG/apsn.jpg,https://www.apsn.org.sg/apsn-chaoyang-school/,"Persons with special needs,Persons with intellectual disabilities","Educational programmes,Vocational training","Family,Special Needs,Children","intellectually disabled, low IQ, mentally challenged, down syndrome, mentally retarded",,,,
APSN Katong School,Association for Persons with Special Needs (APSN),"Katong School's Learning Domains covers the key areas of Academic, Daily Living, Physical Education and Sports, Social-Emotional, The Arts, and Vocational Education for persons with special needs. The Transition Planning programme prepares students for transition to post-secondary vocational training and employment opportunities.",https://chidnast.sirv.com/SchemesSG/apsn.jpg,https://www.apsn.org.sg/apsn-katong-school/,"Persons with special needs,Persons with intellectual disabilities","Educational programmes,Vocational training","Family,Special Needs,Children","intellectually disabled, low IQ, mentally challenged, down syndrome, mentally retarded",,,,
APSN Tanglin School,Association for Persons with Special Needs (APSN),"APSN Tanglin School’s curriculum aims to engage students in life-long learning, meaningful work and lead independent lives. This is accomplished by building students’ competence in the core learning domains. These are Academic (i.e. Literacy, Numeracy and Science), Vocational Education, Social Emotional, Physical Education and Sports and The Arts.",https://chidnast.sirv.com/SchemesSG/apsn.jpg,https://www.apsn.org.sg/apsn-tanglin-school/,"Persons with special needs,Persons with intellectual disabilities","Educational programmes,Vocational training","Family,Special Needs,Children","intellectually disabled, low IQ, mentally challenged, down syndrome, mentally retarded",,,,
APSN Delta Senior School,Association for Persons with Special Needs (APSN),APSN Education Services Ltd Delta Senior School (DSS) provides vocational training for persons with special needs and equips them with WSQ certifications recognised by employers.,https://chidnast.sirv.com/SchemesSG/apsn.jpg,https://www.apsn.org.sg/apsn-delta-senior-school/,"Persons with special needs,Persons with intellectual disabilities","Educational programmes,Vocational training","Family,Special Needs","intellectually disabled, low IQ, mentally challenged, down syndrome, mentally retarded",,,,
Sexual Assault Care Centre,Association of Women for Action and Research (AWARE),"The Care Centre provides safe, free and confidential services for anyone who has faced sexual assault and/or sexual harassment, even if it happened years ago. If you need help, or feel unsure about a sexual encounter and just want to talk, please call, WhatsApp, email or visit by appointment.",https://chidnast.sirv.com/SchemesSG/aware.jpg,https://sacc.aware.org.sg,"Facing abuse,Facing harassment,Women","Emotional care,Counselling","Family,Youth-at-Risk,Women","Abuse, Sexual, Sexual Abuse, Sexual Assault, Sexual Violence, trauma, molest, me too",,,,
Divorce Support Group,Association of Women for Action and Research (AWARE),"Clients seeking support for divorce-related issues can reach out to the Women’s Helpline at 1800 777 5555 to speak with a trained Helpliner, and explore other options, such as seeking legal advice and counselling services.",https://chidnast.sirv.com/SchemesSG/aware.jpg,https://www.aware.org.sg/2020/11/support-group-for-women-going-through-divorce-2/,"Undergoing divorce,Women","Emotional care,Counselling","Family,Youth-at-Risk,Women","Divorce, abuse, marriage, broken, family, single, seperation, marital abuse,",,,,
Information on Abortion,Association of Women for Action and Research (AWARE),"If you are thinking about ending an unwanted pregnancy, this page provides factual information about the procedures and regulation involved, addressing concerns women frequently have and dispelling myths that still persist related to abortion.",https://chidnast.sirv.com/SchemesSG/aware.jpg,https://www.aware.org.sg/information/abortion/,"Abortion,Women",Information,"Family,Youth-at-Risk,Women","pregnancy, teenage, teen, underaged, sexually transmitted disease, STI, abortion, miscarriage, baby, child, unwanted, abuse, sexual, contraception, counselling, guilt, procedures, pre-abortion, family violence, divorce, separation, abusive spouse, husband hit, wife hit, domestic abuse",,,,
Pathlight School,Autism Resource Centre (ARC),"Pathlight School offers Singapore's mainstream academic curriculum together with life readiness skills. It caters to students on the autism spectrum and related conditions, aged 7 to 18 years, who are cognitively able to access mainstream academic curriculum but require additional support such as smaller class sizes, special accommodations and teaching staff trained in autism.",https://chidnast.sirv.com/SchemesSG/arc.jpg,https://www.pathlight.org.sg/,Autism spectrum,"Educational programmes,Vocational training","Family,Special Needs,Children","my kid is autistic, autism spectrum, learning disability",,,,
Employability and Employment Centre (E2C),Autism Resource Centre (ARC),The Employability and Employment Centre (E2C) offers services to enable people with autism to perform successfully in the workplace. It also offers services for employers who are interested in hiring people with autism in their companies.,https://chidnast.sirv.com/SchemesSG/arc.jpg,https://www.autism.org.sg/core-services/e2c,Autism spectrum,Vocational training,"Family,Special Needs","my kid is autistic, autism spectrum, learning disability",,,,
Transitional Shelter,AWWA,Provides temporary accommodation to displaced families who have exhausted all other means of accommodation. It also provides social work intervention to address complex housing and social needs of admitted families to achieve long-term housing options.,https://chidnast.sirv.com/SchemesSG/awwa.jpg,https://www.awwa.org.sg/our-services/families/transitional-shelter/,"Homeless,Families","Casework,Counselling,Referral,Housing,Befriending,Educational programmes","Homeless,Low Income","Homeless, no place to stay, no roof over head, no accommodation, abuse, landlord kick out, need temporary housing, short-term house",,,,
Babes - A Helping Hand for Pregnant Teens,Babes - A Helping Hand for Pregnant Teens,"Staff will discuss the various options available in order for client to make an informed decision. The caseworker will journey with the girl to ensure that she is well supported by her family, friends and wider community in her decision and is able to carry out her decision as best as possible. She will also be linked to formal and informal community resources.",https://chidnast.sirv.com/SchemesSG/babes.jpg,https://www.babes.org.sg/we-are-here-for-you/our-services/,"Teenagers facing pregnancy,Youth-at-risk",Counselling for pregnant teens,Youth-at-Risk,"Teenage Pregnancy, Pregnant, Young Mother, Baby, abortion",,,,
Counselling Ministry,Bartley Christian Church,"Free of charge counselling services by lay counsellors for issues such as: Stress, Anxiety, Interpersonal relationships, Parenting issues, Emotional distress, Grief/Bereavement, Workplace problems, Anger management, Low self-esteem. Open to all regardless of their faith, ethnicity or status.",https://chidnast.sirv.com/SchemesSG/bartley.jpg,https://www.bartley.org.sg/counselling,"Individuals,In need of mental healthcare,Interpersonal issues",Counselling,Mental Health,"Stress, Anxiety, Interpersonal relationships, Parenting issues, Emotional distress, Grief/Bereavement, Workplace problems, Anger management, Low self-esteem",,,,
Financial and Food Rations assistance (Temporary),Bethel Social Services | Bethel Community Services,"To provide temporary aid to individuals, families, seniors and children who are residing near Eastern Singapore, such as TCM Clinic, monthly haircut and birthday celebration for seniors, preschool/early childhood/stduent care centres and study room program for children, and monthly food bundle assistance. Provides casework support for individuals and families who may be facing issues relating to homelessness, poverty, unemployment, family issues and/or other personal issues.",https://chidnast.sirv.com/SchemesSG/bethelcs.jpg,https://www.bethelcs.org.sg/social-services/overview,"Low income,Low income families","Financial assistance for daily living,Free TCM,Free haircut","Low Income,Food,Elderly,Children,Family,Mental Health","Looking for free TCM, money to tide over difficulties, money for daily needs",,,,
Financial Assistance,BCARE,"Provide short-term financial assistance for milk powder, diapers to the residents of Hougang, Sengkang and Punggol who are in need of help. Also provides phonics lessons and educational games for children aged 5 to 7 years and tuition/academic coaching for children in lower-income families.",https://chidnast.sirv.com/SchemesSG/bethesda.jpg,https://www.bcare.org.sg/services,"Low income families,Family,Children",Financial assistance for daily living,Low Income,"Money for daily needs, low income, poor",,,,
COVID-19 - Family Assistance Fund,Beyond Social Services,Covid 19 Family Assistance Fund Fund will go towards the families whose household income and employment have been affected by the crisis. We disburse it in the form of cash and food vouchers.,https://chidnast.sirv.com/SchemesSG/beyond.jpg,https://www.beyond.org.sg/faf-faq/,Low income,"Financial assistance,COVID-19 support","Low Income,COVID-19,Food","Need money for daily needs, low income, poor, lost job, retrenched COVID",,,,
Various services,Big Love Child Protection Specialist Centre,Casework management; child protection; home-based parenting training; building psychological and social resilience for children and young persons; family bonding,https://chidnast.sirv.com/SchemesSG/biglove.jpg,https://www.biglove.org.sg/,"Parents,Family,Children,Seniors,Domestic Violence,Mental health,Caregiving","Casework,Child protection,Educational programmes on parenting","Children,Family","child protection, abuse, family violence, children, families",,,,
Neighbourhood Assistance Fund (NAF),Bless Community Services,"The Neighbourhood Assistance Fund provides emergency relief or short-term assistance to individuals and families who face an unexpected hardship (unexpected job loss of job etc), causing a significant impact on their household income by assisting with daily needs. Our Emergency Relief Assistance is meant to meet basic necessities such as food, groceries, transport and other daily expenses only, and our Short Term Relief Assistance is meant to tide an individual or family over some time while longer term assistance at a Social Service Office or at another agency is pending approval.",https://chidnast.sirv.com/SchemesSG/bless.jpg,https://bless.org.sg/neighbourhood-assistance-fund/,"Low income,Low income families,Retrenched,Family",Financial assistance for daily living,"Low Income,Food","Poor, need money to tide over difficulties, money for daily needs, retrenched, daily living expenses, low income, bridging",,,,
Gambling Addiction Recovery Centre,Blessed Grace Social Services,"At Gambling Addiction Recovery Centre (""GARC""), we help gambling addicts recover from their addiction and regain their self-worth and dignity by rebuilding their lives. We help to restore broken relationships and help them find significance and purpose in their lives. Provides a support group and bonding activities.",https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/BlessedGrace.png,https://www.bgss.org.sg/gambling-addiction-garc,"Persons with gambling addiction,Gambling addicts","Counselling,Emotional care,Befriending","Debt,Family","gambling support group, problem gambling, always in debt, casino, debt problem, gambling addiction, addict recovery, owe money, cannot quit gambling, online betting, horse",,,,
Debts Consolidation,Blessed Grace Social Services,Helps clients to apply for the Debt Repayment Scheme (DRS) is a government assistance repayment program by the Ministry of Law. It seeks a win-win outcome for both the debtor and the creditor.,https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/BlessedGrace.png,https://www.bgss.org.sg/debts-consolidation-drs,"Persons with gambling addiction,Gambling addicts",Casework,"Debt,Family","gambling support group, problem gambling, always in debt, casino, debt problem, gambling addiction, addict recovery, owe money, cannot quit gambling, online betting, horse",,,,
Migrant Domestic Workers Care Group,Blessed Grace Social Services,"Our volunteers spend time with migrant domestic workers (MDWs) every weekend to conduct training, engage in fun activities, and counsel them on any employment issues or any injustice faced. BGSS has also helped many MDWs facing loansharks and moneylender issues and continues to educate them so that they will not fall prey to other financial scams. Today, BGSS has built a strong community where these MDWs are now helping their fellow MDWs with similar issues.",https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/BlessedGrace.png,https://www.bgss.org.sg/migrant-domestic-workers-mdws,Foreign Domestic Workers/maids,"Counselling,Emotional care,Casework,Befriending","Foreign Domestic Workers/maids,Women","no friends in singapore, new to singapore, meet locals, integrate, adjust, make new friends, chinese, prc, vietnam, myanmar, burmese, filipino, overseas, indian, young couple, adapt, cultural exchange, support group, socialize, social life, abuse, salary, employer problem, debt, loanshark, owe money, maids, foreign domestic workers",,,,
"Narcotics Addiction Recovery Centre (""NARC"") and Prison Outreach",Blessed Grace Social Services,"At Narcotics Addiction Recovery Centre (""NARC"") and Prison Outreach, we help narcotics addicts and ex-offenders recover from their addiction by providing a support group consisting of volunteer counsellors and recovered/recovering addicts. They are guided to walk in the right path through love, care and shared experiences. BGSS helps ex-offenders to reintegrate to society by involving them in community volunteer work.",https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/BlessedGrace.png,https://www.bgss.org.sg/narcotics-addiction-narc,Ex-offenders,"Counselling,Emotional care,Befriending",Ex-offender,"exconvict, out of jail, drug addict, therapy, rehab, counsellor, help with addiction, support group, social group, community, need friends",,,,
Mutual Help and Care,Bo Tien Welfare Services Society,The food ration programme is tasked as additional tier assistance to the destitute and needy families with the referral from Community Development Council. The distribution also extended to the elderly who are on Work Transition Support Scheme or with multiple financial difficulties reviewed by Community Development Council.,https://chidnast.sirv.com/SchemesSG/Bo%20Tien.jpg,http://www.botien.org.sg/new_09/mutual-help-n-care.php?pid=0,"Low income,Low income families,Need food support",Food,"Low Income,Food","Food, hungry, have not eaten, rations",,,,
Verification Typing Subsidy,Bone Marrow Donor Programme (BMDP),"The Verification Typing (VT) subsidy offsets the costs needed to carry out a second typing of an identified donor’s genetic markers. Once a potential donor with similar genetic markers or Human Leukocyte Antigen (HLA) as the patient is identified in the database, a VT is initiated to confirm the typing of the donor’s HLA. This is to ensure that this donor is indeed the best match. At this stage, a patient’s doctor may also request for VT to be performed on more than one donor to select the best option for the patient.

The typical cost of a VT is less than $4,600 and has since covered new patients.",https://chidnast.sirv.com/SchemesSG/BMDP.jpg,https://bmdp.org/patient-subsidies,Leukaemia patients,Financial assistance for leukaemia patients,Healthcare,"Bone marrow, leukaemia, leukemia",,,,
Hematopoietic Progenitor Cells (HPC) Procurement Subsidy Scheme,Bone Marrow Donor Programme (BMDP),"Subsidies to offset the cost of procuring bone marrow or blood stem cells (Hematopoietic Progenitor Cells (HPC)) and associated hospitalisation costs. Such costs vary depending on the country of origin of the donor to cover donor medical fees and logistics. It can go up to $75,000 if the HPC product is procured from overseas.",https://chidnast.sirv.com/SchemesSG/BMDP.jpg,https://bmdp.org/patient-subsidies,Leukaemia patients,Financial assistance for leukaemia patients,Healthcare,"Bone marrow, leukaemia, leukemia",,,,
Patient Subsidy Fund,Bone Marrow Donor Programme (BMDP),"Support costs associated with Matched Unrelated Donor (MUD) Hematopoietic Stem Cell Transplants as well as Post-Transplant expenses for patients. The Patient Subsidy Fund will be part of a range of subsidy schemes by the BMDP, aimed to alleviate patients’ treatment costs and support them through post-transplant expenditures. Covers Transplant-Related Cost Subsidy and Post-Transplant Allowances.",https://chidnast.sirv.com/SchemesSG/BMDP.jpg,https://bmdp.org/patient-subsidies,Leukaemia patients,Financial assistance for bone marrow transplant costs,Healthcare,"Leukemia, leukaemia, no money for leukemia treatment",,,,
