,Scheme,Description,Agency,Image,Link,Who It's For,What It Gives,Scheme Type
11,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Persons with disabilities (PWDs),Occupational therapy,Family
12,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Persons with disabilities (PWDs),Occupational therapy,Transport
13,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Persons with disabilities (PWDs),Occupational therapy,Healthcare
14,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Persons with disabilities (PWDs),Occupational therapy,Mental Health
15,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Persons with disabilities (PWDs),Physiotherapy,Disability
16,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Persons with disabilities (PWDs),Physiotherapy,Family
17,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Persons with disabilities (PWDs),Physiotherapy,Transport
18,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Persons with disabilities (PWDs),Physiotherapy,Healthcare
19,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Persons with disabilities (PWDs),Physiotherapy,Mental Health
20,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Persons with disabilities (PWDs),Educational programmes,Disability
21,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Persons with disabilities (PWDs),Educational programmes,Family
22,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Persons with disabilities (PWDs),Educational programmes,Transport
23,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Persons with disabilities (PWDs),Educational programmes,Healthcare
24,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Persons with disabilities (PWDs),Educational programmes,Mental Health
25,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Occupational therapy,Disability
26,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Occupational therapy,Family
27,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Occupational therapy,Transport
28,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Occupational therapy,Healthcare
29,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Occupational therapy,Mental Health
30,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Physiotherapy,Disability
31,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Physiotherapy,Family
32,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Physiotherapy,Transport
33,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Physiotherapy,Healthcare
34,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Physiotherapy,Mental Health
35,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Educational programmes,Disability
36,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Educational programmes,Family
37,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Educational programmes,Transport
38,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Educational programmes,Healthcare
39,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Special needs,Educational programmes,Mental Health
40,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Occupational therapy,Disability
41,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Occupational therapy,Family
42,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Occupational therapy,Transport
43,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Occupational therapy,Healthcare
44,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Occupational therapy,Mental Health
45,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Physiotherapy,Disability
46,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Physiotherapy,Family
47,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Physiotherapy,Transport
48,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Physiotherapy,Healthcare
49,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Physiotherapy,Mental Health
50,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Educational programmes,Disability
51,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Educational programmes,Family
52,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Educational programmes,Transport
53,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Educational programmes,Healthcare
54,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Elderly,Educational programmes,Mental Health
55,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Occupational therapy,Disability
56,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Occupational therapy,Family
57,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Occupational therapy,Transport
58,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Occupational therapy,Healthcare
59,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Occupational therapy,Mental Health
60,Rehabilitation Centre and Respite Centre,"Provides Occupational Therapy, Physiotherapy and Pilates rehabilitation, with the goal of working towards integrating persons with physical disability back to work and society. Training courses to equip clients with the relevant skills to enhance their employability. Respite for Family Caregivers provides centre and home based respite services to help family caregivers of the physically challenged care recipients. Wheelchair accessible vans to provide transport at reasonable rates",Abilities Beyond Limitations and Expectations (ABLE),https://chidnast.sirv.com/SchemesSG/able.jpg,https://www.able-sg.org/,Caregivers,Physiotherapy,Disability
